Ticker,BusinessDate,TimeBucket,Open,High,Low,Close,Volume
USDJPY,20180430,21:00,109.33,109.33,109.235,109.262,3862810000
AUDUSD,20180430,22:00,0.75303,0.75326,0.75262,0.75288,1100390000
EURUSD,20180430,22:00,1.2078,1.20806,1.20746,1.20804,2766840000
GBPUSD,20180430,22:00,1.37674,1.37719,1.37648,1.37679,1627190000
NZDUSD,20180430,22:00,0.70342,0.70369,0.70319,0.70342,769790000
USDCHF,20180430,22:00,0.99055,0.99086,0.99037,0.99069,788120000
USDJPY,20180430,22:00,109.265,109.283,109.238,109.271,3113300000
AUDUSD,20180430,23:00,0.75285,0.75341,0.7527,0.75315,1812360000
EURUSD,20180430,23:00,1.20804,1.20841,1.2077,1.20815,3491730000
GBPUSD,20180430,23:00,1.37677,1.37719,1.37648,1.37718,1858750000
NZDUSD,20180430,23:00,0.70344,0.70379,0.70332,0.70369,1102030000
USDCHF,20180430,23:00,0.9907,0.99081,0.99054,0.99067,863690000
USDJPY,20180430,23:00,109.269,109.333,109.25,109.312,1488760000
