<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20180430,7:00,109.196,109.262,109.187,109.248,4415450001
USDJPY,20180430,8:00,109.248,109.328,109.241,109.308,3969989997
USDJPY,20180430,9:00,109.307,109.326,109.242,109.25,3986890001
USDJPY,20180430,10:00,109.25,109.305,109.231,109.266,3933770000
USDJPY,20180430,11:00,109.268,109.407,109.264,109.368,3882890000
USDJPY,20180430,12:00,109.37,109.429,109.297,109.321,5310640000
USDJPY,20180430,13:00,109.321,109.415,109.284,109.37,5551330000
USDJPY,20180430,14:00,109.37,109.452,109.299,109.431,7438580003
USDJPY,20180430,15:00,109.431,109.44,109.246,109.286,7256780001
USDJPY,20180430,16:00,109.287,109.307,109.086,109.121,6578020000
USDJPY,20180430,17:00,109.121,109.275,109.105,109.242,5541920000
USDJPY,20180430,18:00,109.241,109.298,109.163,109.291,5291329999
USDJPY,20180430,19:00,109.291,109.369,109.27,109.317,3727610000
USDJPY,20180430,20:00,109.316,109.336,109.283,109.33,1459150000
USDJPY,20180430,21:00,109.33,109.33,109.235,109.262,3862810000
USDJPY,20180430,22:00,109.265,109.283,109.238,109.271,3113300000
USDJPY,20180430,23:00,109.269,109.333,109.25,109.312,1488760000
USDCHF,20180401,21:00,0.9526,0.95404,0.95194,0.95404,165370000
USDCHF,20180401,22:00,0.95404,0.95486,0.95353,0.95434,1417370000
USDCHF,20180401,23:00,0.95434,0.95468,0.9543,0.95459,1303930000
USDCHF,20180402,0:0,0.95458,0.955,0.95407,0.95422,2168160000
USDCHF,20180402,10:00,0.95421,0.95422,0.95379,0.95388,2082170000
USDCHF,20180402,20:00,0.95387,0.95417,0.95376,0.95398,1767240000
USDCHF,20180402,3:00,0.95399,0.95447,0.9539,0.95431,953550000
USDCHF,20180402,4:00,0.95431,0.95442,0.9542,0.9544,1244860000
USDCHF,20180402,5:00,0.95444,0.95467,0.95435,0.95442,1299080000
USDCHF,20180402,6:00,0.95443,0.95501,0.95436,0.95439,1394480000
USDCHF,20180402,7:00,0.95439,0.95469,0.95332,0.95339,1188330000
USDCHF,20180402,8:00,0.95341,0.95364,0.95314,0.95328,731270000
USDCHF,20180402,9:00,0.95325,0.95327,0.95305,0.95318,639960000
USDCHF,20180402,10:00,0.95318,0.95362,0.95308,0.9535,1451050000
USDCHF,20180402,11:00,0.95352,0.95352,0.95273,0.95276,1952650000
USDCHF,20180402,12:00,0.95275,0.95347,0.95268,0.95346,3780500000
USDCHF,20180402,13:00,0.95347,0.95414,0.95301,0.95342,5949250000
USDCHF,20180402,14:00,0.95342,0.95492,0.95301,0.95486,6410290000
USDCHF,20180402,15:00,0.95485,0.95638,0.95445,0.95593,6891660000
USDCHF,20180402,16:00,0.95591,0.95641,0.95556,0.95604,5119480000
USDCHF,20180402,17:00,0.95604,0.95632,0.9547,0.95471,6370930000
USDCHF,20180402,18:00,0.95473,0.95488,0.95395,0.95471,5224870000
USDCHF,20180402,19:00,0.9547,0.95494,0.9541,0.95455,4198850000
